id;nome;imagem_path;is_figura;legenda;instrumento_id;historia_id
160;ter04_F01;data/images/fotos/calor-termo/4-termometros/ter04_F01.jpg;true;"Fig. 355 de E. Gouard, G. Hiernaux, <i>Mecanique et Physique - à l’usage des candidats aux écoles nationales d’Arts et Métiers</i>, 3<sup>ème</sup> édition, Dunod, Paris, 1931.";10;null

161;maq03_F01;data/images/fotos/calor-termo/5-maquinas-a-vapor/maq03_F01.jpg;true;"Figura 388 de F.J. Sousa Gomes e Álvaro R. Machado, <i>Elementos de Física Descritiva</i>, 6ª edição, Livraria Cruz-Editora, Braga 1918.";14;null
162;maq03_F02;data/images/fotos/calor-termo/5-maquinas-a-vapor/maq03_F02.jpg;true;"Figura 390 de F.J. Sousa Gomes e Álvaro R. Machado, <i>Elementos de Física Descritiva</i>, 6ª edição, Livraria Cruz-Editora, Braga 1918.";14;null

163;calor01_F01;data/images/fotos/calor-termo/6-geral/calor01_F01.jpg;true;"Fig.538 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 21<sup>ére</sup> édition, Librairie Hachette et Cie., Paris, 1894.";16;null
164;calor02_F01;data/images/fotos/calor-termo/6-geral/calor02_F01.jpg;true;"Fig. 276 de M. Chassagny, <i>Cours Élèmentaire de Physique</i>, Librairie Hachette et Cie., Paris, 1912.";17;null
165;calor03_F01;data/images/fotos/calor-termo/6-geral/calor03_F01.jpg;true;"Fig.565 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 21<sup>ére</sup> édition, Librairie Hachette et Cie., Paris, 1894.";18;null
166;calor04_F01;data/images/fotos/calor-termo/6-geral/calor04_F01.jpg;true;"Fig. 274 de M. Chassagny, <i>Cours Élémentaire de Physique</i>, Librairie Hachette et Cie., 6<sup>ème</sup> édition, Paris, 1912.";19;null
167;calor05_F01;data/images/fotos/calor-termo/6-geral/calor05_F01.jpg;true;"Fig. 299 de A. Ganot, G. Maneuvrier, <i>Traité Élèmentaire de Physique</i>, Librairie Hachette et Cie., 25<sup>ème</sup>édition, Paris, 1913.";20;null
168;calor06_F01;data/images/fotos/calor-termo/6-geral/calor06_F01.jpg;true;"Fig. 167 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 21<sup>ére</sup> édition, Librairie Hachette et Cie., Paris, 1894.";21;null
169;calor07_F01;data/images/fotos/calor-termo/6-geral/calor07_F01.jpg;true;"Fig. 313 de F. da Fonseca Benevides, <i>Noções de Physica Moderna</i>, Tomo II, Tipographia da Academia Real das Sciências, Lisboa, 1880.";22;null
170;calor08_F01;data/images/fotos/calor-termo/6-geral/calor08_F01.jpg;true;"Fig. 125 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Tipographia da Academia Real das Sciências, Lisboa, 1880. ";23;null
171;calor08_F02;data/images/fotos/calor-termo/6-geral/calor08_F02.jpg;true;"Fig. 126 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Tipographia da Academia Real das Sciências, Lisboa, 1880. ";23;null
172;calor09_F01;data/images/fotos/calor-termo/6-geral/calor09_F01.jpg;true;"Fig. 336 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 25<sup>ème</sup> édition, Librairie Hachette et Cie., Paris, 1913.";24;null
173;calor11_F01;data/images/fotos/calor-termo/6-geral/calor11_F01.jpg;true;"Fig. 537 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 21<sup>ére édition</sup>, Librairie Hachette et Cie., Paris, 1894";26;null

174;cap01_F01;data/images/fotos/capilaridade/cap01_F01.jpg;true;"Fig. 87779 do catálogo Max Kohl A. G., <i>Appareils de Physique</i>, nº 100, Tome III, Chemnitz, Allemagne";27;null
175;cap02_F01;data/images/fotos/capilaridade/cap02_F01.jpg;true;"Fig. 234 do catálogo <i>Les Fils d’Emile Deyrolle</i>, Paris.";28;null
176;cap03_F01;data/images/fotos/capilaridade/cap03_F01.jpg;true;"Fig. 235 do catálogo <i>Les Fils d’Emile Deyrolle</i>, Paris.";29;null

177;apa02_F01;data/images/fotos/electro/8-apa-med/apa02_F01.jpg;true;"Fig. 94014 do catálogo Max Kohl A. G., <i>Appareils de Physique</i>, nº 100, Tome III, Chemnitz, Allemagne.";31;null

178;bus01_F01;data/images/fotos/electro/9-bussolas/bus01_F01.jpg;true;"Fig. 4358 do catálogo Dr. Stöhrer u. Sohn, <i>Physikalische und Chemische Lehrmittel</i>, Ausgabe IX, Leipzig. ";35;null

179;eleq01_F01;data/images/fotos/electro/10-eletroquimica/eleq01_F01.jpg;true;"Fig. 486 de F. J. Gomes, A. R. Machado, <i>Elementos de Física Descritiva</i>, Editora Livraria Cruz, Braga, 1918.";37;null
180;eleq03_F01;data/images/fotos/electro/10-eletroquimica/eleq03_F01.jpg;true;"Fig. 628 do catálogo <i>Les Fils d’Emile Deyrolle</i>, Paris.";39;null
181;eleq03_F02;data/images/fotos/electro/10-eletroquimica/eleq03_F03.jpg;true;"Fig. 95018 do catálogo Max Kohl A. G., <i>Appareils de Physique</i>, nº 100, Tome III, Chemnitz, Allemagne.";39;null

182;elee02_F01;data/images/fotos/electro/11-eletroestatica/elee02_F01.jpg;true;"Fig. 594 do catálogo <i>Les Fils d’Emile Deyrolle</i>, Paris.";41;null
183;elee04_F01;data/images/fotos/electro/11-eletroestatica/elee04_F01.jpg;true;"Fig. 478 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Typographia da Academia Real das Sciencias, Lisboa, 1880.";43;null
184;elee05_F01;data/images/fotos/electro/11-eletroestatica/elee05_F01.jpg;true;"Fig. 92563 do catálogo Max Kohl A. G., <i>Appareils de Physique</i>, nº 100, Tome III, Chemnitz, Allemagne.";44;null
185;elee07_F01;data/images/fotos/electro/11-eletroestatica/elee07_F01.jpg;true;"Fig. 4723/1 do catálogo Dr. Stöhrer u. Sohn, <i>Physikalische und Chemische Lehrmittel</i>, Ausgabe IX, Leipzig.";46;null
186;elee07_F02;data/images/fotos/electro/11-eletroestatica/elee07_F02.jpg;true;"Fig. 4723/2 do catálogo Dr. Stöhrer u. Sohn, <i>Physikalische und Chemische Lehrmittel</i>, Ausgabe IX, Leipzig.";46;null
187;elee07_F03;data/images/fotos/electro/11-eletroestatica/elee07_F03.jpg;true;"Fig. 4738 do catálogo Dr. Stöhrer u. Sohn, <i>Physikalische und Chemische Lehrmittel</i>, Ausgabe IX, Leipzig.";46;null

188;motg02_F01;data/images/fotos/electro/12-motores-geradores/motg02_F01.jpg;true;"Fig. 568 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Typographia da Academia Real das Sciencias, Lisboa, 1880.";50;null
189;motg03_F01;data/images/fotos/electro/12-motores-geradores/motg03_F01.jpg;true;"Fig. 641 do catálogo <i>Les Fils d’Emile Deyrolle</i>, Paris.";51;null
190;motg04_F01;data/images/fotos/electro/12-motores-geradores/motg04_F01.jpg;true;"Fig. 464 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Typographia da Academia Real das Sciencias, Lisboa, 1880.";52;null

191;ger02_F01;data/images/fotos/electro/13-geral/ger02_F01.jpg;true;"Fig. 483 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Typographia da Academia Real das Sciencias, Lisboa, 1880.";54;null
192;ger05_F01;data/images/fotos/electro/13-geral/ger05_F01.jpg;true;"Fig. 5305 do catálogo Dr. Stöhrer und Sohn, <i>Physikalische und Chemische Lehrmittel</i>, Ausgabe IX, Leipzig.";57;null
193;ger06_F01;data/images/fotos/electro/13-geral/ger06_F01.jpg;true;"Fig. 1747 do catálogo W.M. Welsh Scientific Company, <i>Laboratory Apparatus and Supplies for Physics and Chemistry</i>, Catalog “G”, Chicago, 1922.";58;null

194;apaagua02_F01;data/images/fotos/hidro/14-aparelhoselevacaodeagua/apaagua02_F01.jpg;true;"Fig. 231 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, 3ª edição, Typographia da Academia Real das Sciências, Lisboa 1880.";62;null
195;apaagua03_F01;data/images/fotos/hidro/14-aparelhoselevacaodeagua/apaagua03_F01.jpg;true;"Fig. 230 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, 3ª edição, Typographia da Academia Real das Sciências, Lisboa 1880";63;null

196;bombagua01_F01;data/images/fotos/hidro/15-bombasdeagua/bombagua01_F01.jpg;true;"Fig. 221 de F. J. Sousa Gomes, A. R. Machado, <i>Elementos de Física Descritiva</i>, 6ª edição, Editora Livraria Cruz, Braga 1918.";64;null
197;bombagua02_F01;data/images/fotos/hidro/15-bombasdeagua/bombagua02_F01.jpg;true;"Fig. 151 de P. Métral, <i>Précis de Physique</i>, 2<sup>ème</sup édition, Masson et Cie. Éditeurs, Paris 1930.";65;null

198;hidrogeral01_F01;data/images/fotos/hidro/16-geral/hidrogeral01_F01.jpg;true;"Fig. 96 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, 3ª edição, Tipographia da Academia Real das Sciências, Lisboa 1880.";66;null
199;hidrogeral02_F01;data/images/fotos/hidro/16-geral/hidrogeral02_F01.jpg;true;"Fig. 100 de M. Chassagny, <i>Cours Élémentaire de Physique</i>, 6<sup>ème</sup> edition, Librairie Hachette et Cie, Paris 1912.";67;null
200;hidrogeral03_F01;data/images/fotos/hidro/16-geral/hidrogeral03_F01.jpg;true;"Fig. 111 do catálogo <i>Les fils d’Émile Deyrolle</i>, Paris";68;null
201;hidrogeral03_F02;data/images/fotos/hidro/16-geral/hidrogeral03_F02.jpg;true;"Fig. 124 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 26<sup>ème</sup> édition, Librairie Hachette et Cie, Paris 1918.";68;null
202;hidrogeral04_F01;data/images/fotos/hidro/16-geral/hidrogeral04_F01.jpg;true;"Fig. 100 de <i>Cours de Physique, 1<sup>ére</sup>, 2<sup>ème</sup> et 3<sup>ème</sup> Années, par Une Réunion de Professeurs</i>, Librairie Genérale, Paris.";69;null
203;hidrogeral05_F01;data/images/fotos/hidro/16-geral/hidrogeral05_F01.jpg;true;Fig. 1 – Esquema do carneiro hidráulico;70;null
